date,n_obs,n_null,n_outlier,mean_all,mean_clean,std_clean,outlier_pct
2025-01-02,189772,1836,46170,-675799.44,0.00029593659564852715,0.2112254649400711,24.096071145254896
2025-01-03,188343,3259,40812,-8093.4155,-0.007485894486308098,0.2060176432132721,21.30040396238035
2025-01-06,189379,2236,47322,-700568.1,0.0041838460601866245,0.2087395042181015,24.696396419904495
2025-01-07,189101,2496,48401,-405220.4,0.0042739138007164,0.2111908346414566,25.26187779558135
2025-01-08,189260,2353,47739,32048.494,-0.012142987921833992,0.20950332283973694,24.914280346323057
2025-01-10,189665,1959,52046,-42204.953,-0.001318631344474852,0.21243536472320557,27.160480941844444
2025-01-13,189268,2358,51764,411445.22,-0.011983496136963367,0.21278993785381317,27.013035809336937
2025-01-14,188646,2950,47708,174551.95,-0.008637337014079094,0.21054688096046448,24.900311071212343
2025-01-15,188705,2895,46883,53425.574,-0.00527563551440835,0.2111663818359375,24.469206680584552
2025-01-16,188490,3109,47003,-295205.44,-0.01253929827362299,0.21030966937541962,24.531965198148214
2025-01-17,187858,3761,44484,-629161.1,-0.003584673861041665,0.20846426486968994,23.214816902290483
2025-01-21,188535,3088,48652,54426.695,-0.0040537635795772076,0.21071316301822662,25.389436549892235
2025-01-22,188662,2956,47059,-130463.305,-0.00301403203047812,0.21092841029167175,24.558757527998413
2025-01-23,187495,4115,45327,164494.92,-0.013275857083499432,0.2101268321275711,23.655863472678877
2025-01-24,187152,4430,43966,-494955.34,-0.004109546076506376,0.20956501364707947,22.948920044680605
2025-01-27,189449,2184,56998,634886.44,-0.0008440979872830212,0.21749436855316162,29.743311433834464
2025-01-28,188365,3252,52812,408233.94,0.0023539233952760696,0.21533145010471344,27.561228909752266
2025-01-29,188287,3311,52517,-395852.6,-0.002853768179193139,0.2163458913564682,27.409993841271827
2025-01-30,187672,3934,49930,-981903.0,-0.007234723307192326,0.21344175934791565,26.058682922246696
2025-01-31,188644,2976,52763,224885.19,-0.004924786277115345,0.21634899079799652,27.535225968061788
2025-02-03,189858,1779,56897,724431.6,-0.011414439417421818,0.21945269405841827,29.689986797956553
2025-02-04,188468,3139,50032,76623.97,-0.002578519517555833,0.2135937660932541,26.111780884831976
2025-02-05,188032,3597,49305,-203126.92,-0.009850293397903442,0.21301387250423431,25.729404213349756
2025-02-06,187881,3742,49725,-197696.34,-0.0014834413304924965,0.2130041867494583,25.949390208899764
2025-02-07,188405,3222,49067,506398.3,-0.00293900934047997,0.21237711608409882,25.605473132700507
2025-02-10,186841,4787,46368,581097.94,-0.0043402803130447865,0.20978763699531555,24.196881457824535
2025-02-11,186671,4949,45236,-265775.75,-0.003700765548273921,0.20997324585914612,23.607139129527187
2025-02-12,188306,3321,49610,-768837.3,-0.010238369926810265,0.2124391496181488,25.888836124345733
2025-02-13,187405,4205,48813,-105761.51,-0.014900660142302513,0.2115432173013687,25.47518396743385
2025-02-14,186517,5080,47751,135552.31,-0.0005588834173977375,0.20950281620025635,24.9226240494371
2025-02-18,187431,4195,50542,-65340.844,-0.008458064869046211,0.21160975098609924,26.37533528853078
2025-02-19,186993,4637,49829,-296162.8,-0.006656458601355553,0.21086354553699493,26.002713562594582
2025-02-20,187748,3884,52657,354881.03,-0.005771518684923649,0.2133396714925766,27.47818735910495
2025-02-21,188169,3448,52346,233912.36,0.005585426930338144,0.2128295600414276,27.318035456144287
2025-02-24,188439,3179,53036,-38141.715,-0.0034591283183544874,0.21383994817733765,27.677984322975917
2025-02-25,189135,2501,56869,-125732.48,-0.0009272230672650039,0.21684421598911285,29.67553069360663
2025-02-26,188614,3011,52568,272353.34,-0.005588759668171406,0.21382811665534973,27.432746249184603
2025-02-27,188382,3240,52653,-294238.94,-0.003328411839902401,0.2144639939069748,27.477533894855497
2025-02-28,189198,2433,54201,226709.1,-0.005860830191522837,0.21448679268360138,28.284045900715437
2025-03-03,189381,2254,56550,183755.34,0.0020465271081775427,0.21722324192523956,29.509223262973883
2025-03-04,190228,1409,61248,-62565.027,-0.0028552778530865908,0.2212756872177124,31.960425178853768
2025-03-05,189577,2054,54920,512554.3,-0.016834568232297897,0.21628554165363312,28.65924615537152
2025-03-06,189948,1675,57563,942858.8,-0.00452203257009387,0.21827462315559387,30.039713395573603
2025-03-07,189839,1795,60230,-185732.81,-0.008526851423084736,0.22022375464439392,31.42970454094785
2025-03-10,189907,1725,61662,106672.37,0.008268543519079685,0.22206473350524902,32.177298154796695
2025-03-11,189944,1691,60300,-73246.71,-0.0018861518474295735,0.22033190727233887,31.466068306937668
2025-03-12,189243,2387,54229,-40001.03,-0.01065046526491642,0.21602283418178558,28.298804988780464
2025-03-13,189040,2572,52637,41306.645,0.00011183853348484263,0.21480093896389008,27.470617706615453
2025-03-14,188628,2971,48859,160951.88,-0.012963549233973026,0.21074336767196655,25.500655013857067
2025-03-17,187979,3648,47696,91085.8,-0.01372633595019579,0.21048353612422943,24.890020717331065
2025-03-18,187947,3669,46883,867756.94,-0.005772592034190893,0.20998398959636688,24.467163493653974
2025-03-19,187224,4378,46807,-902641.7,-0.00998302549123764,0.20985136926174164,24.42928570682978
2025-03-20,187310,4306,46711,409412.84,-0.00991007313132286,0.21086208522319794,24.377400634602537
2025-03-21,187944,3667,47055,-227757.73,-0.008425643667578697,0.20870566368103027,24.55756715428655
2025-03-24,186814,4796,44167,-262390.66,-0.008746483363211155,0.20897594094276428,23.05046709461928
2025-03-25,184804,6805,42319,105577.586,-0.004230181220918894,0.20620368421077728,22.086123303185133
2025-03-26,184191,7415,43737,-17685.057,-0.006067829672247171,0.20689845085144043,22.826529440622945
2025-03-27,185538,6044,43301,-227936.89,-0.008217684924602509,0.20738175511360168,22.60181019093652
2025-03-28,185814,5781,43883,-738846.0,1.5971785614965484e-05,0.20529410243034363,22.904042381064222
2025-03-31,187964,3653,51588,153130.3,-0.0063862563110888,0.21284522116184235,26.922454688258345
2025-04-01,188542,3082,49669,-162440.19,-0.004622665233910084,0.2104075849056244,25.920030893833758
2025-04-02,187552,4073,47201,8416.035,-0.022412680089473724,0.20923544466495514,24.631963470319633
2025-04-03,189343,2233,62976,-570064.2,0.004811887629330158,0.2188931107521057,32.87259364429783
2025-04-04,190513,1118,74547,169914.69,0.013103801757097244,0.23063842952251434,38.90132598587911
2025-04-07,190586,1040,68089,754128.06,-0.0011286421213299036,0.2308424562215805,35.53223466544206
2025-04-08,190280,1316,61053,1819008.8,0.021075304597616196,0.22366046905517578,31.86548779724003
2025-04-09,190401,1228,64042,840414.0,-0.012294106185436249,0.22644537687301636,33.41978510559466
2025-04-10,190107,1517,62069,-599777.56,0.007379343267530203,0.22470088303089142,32.391036613367845
2025-04-11,189962,1666,52279,-31185.725,-0.010244010016322136,0.21278497576713562,27.281503746842837
2025-04-14,189220,2407,44945,295594.2,-0.011678174138069153,0.2086939513683319,23.45441926242127
2025-04-15,188331,3277,40679,-135040.9,-0.007654826156795025,0.2045615017414093,21.230324412341865
2025-04-16,188606,3003,45272,-735429.75,0.00022741789871361107,0.2080790400505066,23.627282643299637
2025-04-17,189128,2474,44505,684031.6,-0.008323990739881992,0.20746982097625732,23.22783687017881
2025-04-21,188310,3272,44022,74386.24,0.003269629552960396,0.20585234463214874,22.978150348153793
2025-04-22,188878,2746,45398,-93255.48,-0.008800963871181011,0.20958000421524048,23.691186907694235
2025-04-23,189583,2022,50106,-2253793.0,0.003693300299346447,0.2142680436372757,26.150674564859997
2025-04-24,186798,4795,44556,-421276.53,-0.009722297079861164,0.2073836624622345,23.255546914553246
2025-04-25,188030,3553,42919,-411358.12,-0.004229018930345774,0.20748037099838257,22.402300830449466
2025-04-28,187979,3627,42356,210835.88,-0.009448844939470291,0.20670756697654724,22.105779568489506
2025-04-29,188183,3437,43008,-12292.34,-0.011207790113985538,0.20886309444904327,22.4444212503914
2025-04-30,187161,4445,48521,-123520.875,-0.008455625735223293,0.21096855401992798,25.323319729027276
2025-05-01,188820,2786,49339,245540.0,-0.008932535536587238,0.2129892259836197,25.750237466467645
2025-05-02,188257,3346,46340,-14417.775,-0.006392411421984434,0.21179379522800446,24.18542507163249
2025-05-05,186764,4841,41687,221127.86,-0.006708933971822262,0.20616371929645538,21.75673912476188
2025-05-06,187575,4034,44402,-102538.09,-0.0020860303193330765,0.21118272840976715,23.173232990099628
2025-05-07,186666,4945,50937,686491.1,-0.0037100876215845346,0.21778281033039093,26.583546873613727
2025-05-08,187005,4591,51456,-618288.2,0.00021260649373289198,0.21568892896175385,26.85651057433349
2025-05-09,186250,5327,45215,-81213.76,-0.0024969258811324835,0.21166576445102692,23.601476168851168
2025-05-12,187197,4411,56645,-377329.4,-0.0025190692394971848,0.21971140801906586,29.562961880506034
2025-05-13,186673,4937,50904,154320.27,0.00261492608115077,0.21563124656677246,26.566463128229216
2025-05-14,186321,5292,48756,-163160.52,-0.0009355872170999646,0.21358722448349,25.445037654021384
2025-05-15,185720,5889,46775,-254079.6,-0.010990812443196774,0.2117244303226471,24.41169256141413
2025-05-16,185196,6410,41613,32164.396,-0.0083103496581316,0.20734497904777527,21.718004655386576
2025-05-19,184519,7089,41577,394752.22,-0.00030473468359559774,0.20822560787200928,21.698989603774375
2025-05-20,184225,7363,41977,252537.19,-0.0012146331137046218,0.2080671489238739,21.91003611917239
2025-05-21,185747,5852,50602,-991997.3,0.0070237950421869755,0.2146155685186386,26.410367486260366
2025-05-22,185583,6023,46303,796964.7,-0.008018417283892632,0.21101301908493042,24.165735937287977
2025-05-23,185509,6090,46410,467551.62,-0.0062132831662893295,0.212864950299263,24.2224646266421
2025-05-27,185247,6350,46024,-606103.0,-0.005237447563558817,0.21149493753910065,24.021252942373835
2025-05-28,184601,7000,46006,-152003.97,0.001904759556055069,0.2127869576215744,24.011356934462764
2025-05-29,185712,5870,49876,135354.34,-0.015000229701399803,0.21460531651973724,26.03376100051153
2025-05-30,186188,5421,51770,251743.36,-0.014546618796885014,0.2156113237142563,27.01856384616589
2025-06-02,185549,6084,50089,-241052.78,-0.006483122706413269,0.21419426798820496,26.137982497795264
2025-06-03,185221,6371,48395,-164655.73,-0.012948811054229736,0.2108786702156067,25.259405403148357
2025-06-04,184425,7182,46557,648682.4,-0.004745951853692532,0.21044795215129852,24.29817282249605
2025-06-05,185646,5938,48266,-9547.957,-0.004902396351099014,0.21224607527256012,25.193126774678472
2025-06-06,184585,6991,43365,-436525.97,-0.0027759973891079426,0.20762266218662262,22.63592516807951
2025-06-09,184184,7435,49000,62432.33,-0.0010285236639901996,0.21135163307189941,25.571576931306396
2025-06-10,184822,6793,51592,344318.56,-0.001592816668562591,0.21338357031345367,26.924823213213994
2025-06-11,185160,6458,53063,76351.43,-0.001756377867422998,0.21546117961406708,27.692074857268107
2025-06-12,184710,6879,47097,289938.2,-0.006646540481597185,0.2099495232105255,24.582309005214288
2025-06-13,185965,5631,52427,-284198.22,0.007463011424988508,0.21560798585414886,27.36330612330111
2025-06-16,185697,5923,51827,-332399.56,-0.0028295281808823347,0.21468448638916016,27.046759210938315
2025-06-17,185986,5622,51078,-151181.25,-0.002358329249545932,0.21397335827350616,26.657550832950605
2025-06-18,185835,5776,51588,73910.14,-0.004715393763035536,0.21563440561294556,26.923297722990853
2025-06-20,186251,5375,50357,102191.34,0.0009301839745603502,0.212751105427742,26.27879306565915
2025-06-23,186187,5443,51699,705631.6,-0.008232605643570423,0.21369199454784393,26.978552418723584
2025-06-24,184848,6774,46338,-229725.05,-0.006236037705093622,0.2085428535938263,24.181983279581676
2025-06-25,184307,7296,45910,-544495.4,-3.4612621675478294e-05,0.20974037051200867,23.961002698287608
2025-06-26,185272,6347,46554,-155442.08,-0.0018120382446795702,0.21179638803005219,24.295085560408936
2025-06-27,185104,6502,47349,354488.5,-0.0019938566256314516,0.21252299845218658,24.711647860714173
2025-06-30,184715,6899,46213,-143998.66,-0.004150026477873325,0.21170474588871002,24.11775757512499
2025-07-01,186685,4949,55752,-262043.45,-0.012652529403567314,0.21707449853420258,29.092958452049217
2025-07-02,185122,6123,49006,-473251.03,-0.005972719751298428,0.21148163080215454,25.624722214959867
2025-07-03,103029,3914,29450,-1219897.1,-0.006475040689110756,0.2155800312757492,27.538034279943524
2025-07-07,185220,6031,49832,-13470.443,0.004226495511829853,0.2101905345916748,26.055811472881185
2025-07-08,185406,5837,48770,-244482.88,-0.005490968003869057,0.20945757627487183,25.501586986190343
2025-07-09,184115,7500,46269,159819.9,-0.00990609172731638,0.20824898779392242,24.146856978837775
2025-07-10,184412,7197,49095,-157215.81,-0.007314029149711132,0.21088510751724243,25.622491636614146
2025-07-11,183913,7661,45515,451630.6,-0.007164130453020334,0.2082786113023758,23.7584432125445
2025-07-14,184123,7469,48796,27126.38,-0.00769508583471179,0.2107333540916443,25.468704330034658
2025-07-15,184805,6794,50169,783196.0,0.00032137378002516925,0.2105311006307602,26.184374657487773
2025-07-16,184570,7049,48559,344929.78,-0.009294808842241764,0.21051058173179626,25.341432738924635
2025-07-17,184022,7210,49580,120444.92,-0.00983523204922676,0.21117021143436432,25.92662315930388
2025-07-18,183995,7231,49255,-1593628.8,0.0008230822277255356,0.21256648004055023,25.757480677313755
2025-07-21,183151,8071,47087,-295712.94,0.002529806923121214,0.2076513022184372,24.624258715001414
2025-07-22,184050,7192,50524,428767.28,-0.004782498814165592,0.21115723252296448,26.41888288137543
2025-07-23,183342,8286,51624,-92654.67,0.00022152734163682908,0.21074223518371582,26.93969566034191
2025-07-24,183748,7866,53221,1715015.5,-0.0008727344684302807,0.2114243358373642,27.775110378156086
2025-07-25,182596,8990,46876,-149723.33,0.0006022962043061852,0.21012817323207855,24.467341037445326
2025-07-28,182427,9179,48147,66047.33,0.000931279850192368,0.2084563672542572,25.128127511664562
2025-07-29,183492,8096,50540,-266555.66,-0.0003850048524327576,0.21186566352844238,26.37952272584922
2025-07-30,183846,7761,54456,-29660.52,-0.00019159793737344444,0.21450024843215942,28.420673566205828
2025-07-31,185162,6464,58678,1247953.5,0.002979366574436426,0.21787674725055695,30.621105695469296
2025-08-01,185977,5653,62022,652592.44,-0.0010434836149215698,0.21837198734283447,32.36549600793195
2025-08-04,183988,7633,50351,-325189.34,-0.010020245797932148,0.21351251006126404,26.276347581945615
2025-08-05,184176,7443,53228,503164.22,-0.0035643221344798803,0.2142368108034134,27.77803871223626
2025-08-06,183922,7681,51249,710045.44,-0.0004121222591493279,0.2123168259859085,26.747493515237235
2025-08-07,184084,7520,52973,-106956.34,0.0015203866641968489,0.21224366128444672,27.647126364794055
2025-08-08,182326,9287,47772,-92236.02,-0.000463211938040331,0.20851078629493713,24.93150255984719
2025-08-11,182684,8928,48847,163040.6,-0.0009459896828047931,0.21159859001636505,25.49266225497359
2025-08-12,182631,8985,50566,23872.035,-0.006557108834385872,0.21209852397441864,26.38923680694723
2025-08-13,183366,8254,52359,-3778.4963,-0.008718091063201427,0.2139962762594223,27.324392025884563
2025-08-14,182479,9139,46279,40350.594,-0.006527060642838478,0.20925191044807434,24.151697648446387
2025-08-15,182015,9594,44905,406175.97,-0.004174917005002499,0.20733541250228882,23.435746755110667
2025-08-18,181872,9729,46242,228005.92,-0.0017715246649459004,0.20999111235141754,24.13452956926112
2025-08-19,182615,8999,48323,-427692.38,-0.003161883447319269,0.21119891107082367,25.21892972329788
2025-08-20,183671,7956,51142,541647.06,-0.005408246535807848,0.2129027545452118,26.68830592766155
2025-08-21,182227,9386,47364,172146.02,-0.005403266288340092,0.21020136773586273,24.718573374457893
2025-08-22,182737,8869,49337,-581109.75,-0.007110141683369875,0.20938386023044586,25.749193657818648
2025-08-25,181826,9766,46741,1013973.5,0.0023253594990819693,0.2107764482498169,24.396112572550003
2025-08-26,181642,9976,45236,-644623.0,-0.0020734197460114956,0.2090899646282196,23.60738552745567
2025-08-27,181507,10075,46073,-246832.08,-0.00777130201458931,0.2108837217092514,24.048710212859245
2025-08-28,181814,9782,47043,-248784.1,-0.00953072402626276,0.21076366305351257,24.55322658093071
2025-08-29,181969,9612,48302,-415422.53,-0.0019595385529100895,0.21238084137439728,25.21231228566507
2025-09-02,184185,7442,55634,288100.22,0.0043892101384699345,0.21730808913707733,29.032443236078425
2025-09-03,183062,8545,55497,-157528.44,0.00037814449751749635,0.21616728603839874,28.9639731325056
2025-09-04,182615,9008,53686,-1531234.1,-0.00559372128918767,0.21568238735198975,28.016469839215542
2025-09-05,183509,8097,57571,-1211775.0,-0.00035753948031924665,0.21743206679821014,30.04655386574533
2025-09-08,183266,8361,55338,-102547.234,-0.005077278707176447,0.21539883315563202,28.87797648556832
2025-09-09,182081,9532,51302,-24828.21,0.00053740618750453,0.21361467242240906,26.77375752167129
2025-09-10,183009,8613,57907,-540597.9,-0.005090277176350355,0.21851462125778198,30.219390257903584
2025-09-11,183045,8589,55091,471980.1,-0.0070812515914440155,0.21668410301208496,28.748030099042964
2025-09-12,181751,9848,52678,-273514.62,0.008509799838066101,0.21544061601161957,27.49388044822781
2025-09-15,182833,8781,58231,-403303.97,0.005493721459060907,0.21993762254714966,30.389741876898345
2025-09-16,183484,8137,56973,-29838.914,-0.0016071880236268044,0.21900098025798798,29.732127480808472
2025-09-17,183395,8228,56753,83735.35,2.956671960419044e-05,0.21911174058914185,29.617008396695592
2025-09-18,183541,8087,54119,-40824.723,-0.0016765858745202422,0.2160920351743698,28.24169745548667
2025-09-19,182880,8738,52131,1090010.0,0.002131400629878044,0.2142578661441803,27.20569048836748
2025-09-22,182116,9516,52099,-616545.25,-0.013700536452233791,0.21499142050743103,27.187004258161473
2025-09-23,181335,10272,49954,695388.5,-0.0014630256919190288,0.2116324007511139,26.07107255997954
2025-09-24,181407,10201,48740,-186897.25,0.0019844984635710716,0.21168825030326843,25.43735125882009
2025-09-25,182940,8668,52360,9379.228,0.0053465585224330425,0.2143886238336563,27.326625193102583
2025-09-26,181934,9653,49278,-113086.445,-0.003985208459198475,0.2135329246520996,25.720951839112256
2025-09-29,181322,10284,49011,258934.22,-0.0012058467837050557,0.21203871071338654,25.579052848031896
2025-09-30,181862,9745,51122,-393971.3,-0.0010861251503229141,0.21341486275196075,26.68065362956468
2025-10-01,182210,9415,55381,29203.371,-0.0009619904449209571,0.21642395853996277,28.900717547292892
2025-10-02,181822,9773,52349,-307753.03,-0.009265614673495293,0.21390745043754578,27.32273806727733
2025-10-03,181358,10250,51114,29719.215,8.503537537762895e-05,0.21231354773044586,26.676339192518057
2025-10-06,181848,9768,50636,10691.195,-0.0025524429511278868,0.21172668039798737,26.425768203072813
2025-10-07,181777,9848,50112,-171640.03,0.004125937353819609,0.2097594439983368,26.15107632093934
2025-10-08,180589,11025,47983,240105.61,-0.002715896349400282,0.21059204638004303,25.041489661506986
2025-10-09,181193,10427,48112,-57161.766,-0.0018998028244823217,0.21062248945236206,25.108026302056153
2025-10-10,182778,8840,51876,-175370.31,0.006035796366631985,0.21331994235515594,27.072613220052393
2025-10-13,182121,9508,47337,509231.72,-0.0072632464580237865,0.21153122186660767,24.702419779887176
2025-10-14,181877,9755,47930,171560.31,-0.012489357963204384,0.20926986634731293,25.011480337313184
2025-10-15,181921,9699,48144,442248.72,-0.000456564303021878,0.21011729538440704,25.124726020248406
2025-10-16,183175,8451,52622,77402.56,0.0010383666958659887,0.213699072599411,27.460782983519984
2025-10-17,181924,9692,47595,395391.97,0.0006635813624598086,0.21140900254249573,24.83873997995992
2025-10-20,60008,131600,17647,-454480.97,-0.0042915488593280315,0.22160673141479492,9.209949480188719
2025-10-21,0,191593,0,,,,0.0
2025-10-22,60430,131167,20210,165626.27,-0.0003766582813113928,0.22477708756923676,10.548181860885087
2025-10-23,60115,131500,19101,98902.22,-0.007449278607964516,0.2235104888677597,9.96842627142969
2025-10-24,60004,131616,17771,1237024.9,-0.002844827249646187,0.22303900122642517,9.274084124830393
2025-10-27,60109,131508,19723,194921.6,-0.0015726404963061213,0.22574950754642487,10.292928080493901
2025-10-28,60193,131417,20436,-274641.84,0.005651689134538174,0.22634801268577576,10.665414122436198
2025-10-29,60399,131211,22095,242062.02,-0.0032180051784962416,0.22603349387645721,11.5312353217473
2025-10-30,60387,131225,22440,-99728.234,0.0005213768454268575,0.23065364360809326,11.711166315262092
2025-10-31,60354,130892,21711,-280470.2,-0.002274156082421541,0.22795487940311432,11.352394298442842
2025-11-03,60672,130578,23252,139783.44,0.00015836440434213728,0.2330860048532486,12.157908496732025
2025-11-04,60719,130155,24115,1295636.4,0.0032636693213135004,0.23586101830005646,12.633988914152791
2025-11-05,60603,130256,22654,86538.27,0.0006964055355638266,0.2341456115245819,11.869495281857287
2025-11-06,60708,130147,23540,-738957.5,0.0020358210895210505,0.23341251909732819,12.333970815540592
2025-11-07,60719,130134,23848,-1017269.6,-0.002114747418090701,0.2356930524110794,12.495480815077572
2025-11-10,60579,130267,21637,565373.1,-0.007409287616610527,0.23322521150112152,11.337413411860872
2025-11-11,60185,130664,19818,-283675.53,-0.0008265920914709568,0.22866998612880707,10.38412567003233
2025-11-12,60156,130699,20639,90300.41,-0.004660380072891712,0.23060449957847595,10.81396871970868
2025-11-13,60305,130554,22534,-386464.7,0.014731712639331818,0.23617196083068848,11.80662164215468
2025-11-14,60281,130588,22255,236314.4,-0.000697704148478806,0.23396097123622894,11.659829516579434
2025-11-17,60217,130639,21348,-344820.62,0.014092191122472286,0.23199009895324707,11.185396319738441
2025-11-18,60382,130478,22325,-88744.21,0.003479942912235856,0.2325587123632431,11.697055433301896
2025-11-19,60321,130511,21984,-687067.44,0.0019486242672428489,0.2349332869052887,11.520080489645343
2025-11-20,60392,130460,23909,-302081.94,0.01657976768910885,0.2372404783964157,12.527508226269571
2025-11-21,60448,130420,23681,9492.471,-0.005677904933691025,0.23775941133499146,12.407003793197392
2025-11-24,60332,130524,21681,34786.33,0.0020805480889976025,0.23315611481666565,11.359873412415643
2025-11-25,60202,130664,20690,-937245.94,-0.011746003292500973,0.23287828266620636,10.840065805329393
2025-11-26,60069,130784,18814,-355548.44,-0.012215808033943176,0.2282196581363678,9.857848710787884
2025-11-28,33303,72862,10965,-1786195.2,-0.003950190730392933,0.22896483540534973,10.328262610088071
2025-12-01,60094,130390,19565,509152.06,0.0017635326366871595,0.23074492812156677,10.271203880640893
2025-12-02,60109,130362,21094,-84352.53,-0.010398156940937042,0.23187580704689026,11.074651784261121
2025-12-03,60057,130416,19876,-539920.0,-0.0021290883887559175,0.22909238934516907,10.43507478750269
2025-12-04,60126,130352,21003,503524.1,-0.005949841812252998,0.23316489160060883,11.02647024853264
2025-12-05,60121,130335,20907,91095.445,-0.004613709636032581,0.23160593211650848,10.977338597891377
2025-12-08,60193,130288,21663,-179336.88,-0.0003514767740853131,0.232042133808136,11.372787837107113
2025-12-09,60062,130422,21011,257378.05,-0.0032623284496366978,0.23281651735305786,11.030322756766973
2025-12-10,60137,130345,22396,-384779.78,-0.0067056454718112946,0.23454204201698303,11.757541394987452
2025-12-11,60217,130269,22041,-897286.4,-0.0024605882354080677,0.23302218317985535,11.570929097151497
2025-12-12,60268,130208,22251,1016923.8,0.003855789313092828,0.23543161153793335,11.681786681786683
2025-12-15,60281,130203,22549,-669613.56,-0.0014078208478167653,0.23608297109603882,11.83773965267424
2025-12-16,60263,130220,21936,168327.7,0.005308575462549925,0.2352854311466217,11.515988303418153
2025-12-17,60354,130127,22452,513298.28,0.0038057377096265554,0.234651118516922,11.787002378189952
2025-12-18,60315,130172,22533,-336061.1,0.001279837335459888,0.23731020092964172,11.82915369552778
2025-12-19,60198,130269,20964,-263090.75,-0.0011019373778253794,0.23229508101940155,11.006631069949126
2025-12-22,60074,130792,19592,400311.3,-0.001299563329666853,0.23105488717556,10.264793100918968
2025-12-23,59971,130880,17135,-292095.88,0.0016792919486761093,0.22242936491966248,8.978208130950323
2025-12-24,33091,73291,9566,533449.6,-0.0037439404986798763,0.22331824898719788,8.992122727529093
2025-12-26,59317,131470,13674,115365.98,-0.0020435794722288847,0.21860943734645844,7.167154994837174
2025-12-29,59810,131019,16652,-220621.62,0.00399239594116807,0.22666732966899872,8.726137012718192
2025-12-30,59723,131113,14699,-410208.84,0.004555779509246349,0.2240179181098938,7.702425118950303
2025-12-31,59534,131277,13761,241654.66,0.013532660901546478,0.2222716361284256,7.211848373521443
